id,word,dialect,definitionEnglish,definitionNative,pos,domain,subdomain,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,additionalSentences,relatedWords,nounClass,verbExtensions,tamMarkers,register,audience,sourceType,provenance,copyright,dateCreated,createdBy
td5x11wt8,Eryogero,Mixed,Bathroom for bathing,ekisika kyokogera mu,N,DLY,,Eryogero ry'ecumi muno.,The bathroom is very clean.,Agenzire mu ly'ogero kwoga.,she has gone in the bathroom to take a shower.,[],ekinabiro,,[],[],general,general,original_composition,,Project_License,2026-02-20 19:18:19.867+00,1lzzop9e4
tdryigism,Kumalirra,Mixed,Finally,kuhendera,V,NAR,NAR-ANI,hakumalirra gwali murundi gwange gwokubanda kurora entale nerra yatandika kutekaniza omulingo gundi gwokutungiramu ebyokulya.,"Finally it was my first time to see the lion crying started planning for another way of getting food. ","nyowe nkasiga embogo nekiisa kimu, entale neraara enjara nidugayo.",i left the Buffalo surviving that day and the lion sleeps empty stomach i leave.,[],emalirra,,[],[],informal,general,original_composition,,Project_License,2026-02-19 14:11:51.912+00,7ldvwi8jh
teewm0e5k,Abeeri,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
tf8u7z9kr,OKUGARAGARA,Mixed,"Time for Mourning ","Okuleka kusemererwa, Okwezinda Omubujune",V,,,OKUGARAGARA ngeso yaitu Bunyoro na Tooro Omuntu abw'afeerwa amara ebiro bisatu rundi Bbina atarukwegonza ali mubujune.,To mourn a relative for three or four days is our practice in Bunyoro and Tooro.,OKUGARAGARA Omukama  obwaba atuulize kutwara ebiro Mwenda hanyuma batabaaza Omuguta.,"MOURNING for A king takes Nine days there after is Buried. ",[],"Obujune, kuleka kulya,  kusemererwa busaho, Kwezinda.",,[],[],general,general,original_composition,,Project_License,2026-02-20 18:03:04.265+00,ruom6sfi4
tg2o857yj,Omukubi,Mixed,sauce(is a liquid or semi liquid food),Omukubi gwokulisa ebyokulya.,V,DLY,,Nakoza omukubi gwebihimba.,He is eating the bean souce.,Omukubi gunuzire muno.,The souce is very sweet.,[],"omuneneserezo(fried souce with out soup e.g meat,beans,ground nuts)",,[],[],general,general,original_composition,,Project_License,2026-02-21 12:53:37.678+00,1lzzop9e4
tg4ryq61v,Orujungu,Mixed,English,,N,EDU,,Nabaza orujungu.,He/ She is talking in English,Tamanyire rujungu.,Does not know English.,[],orulimi rw'abajungu(language for Europeans),,[],[],general,general,original_composition,,Project_License,2026-02-18 13:40:25.676+00,wmqgng8ap
th6t0n1ck,EMPAAKO,Runyoro,Pet name in Tooro and Bunyoro,Ekitinisa  ky'omuntu Omunsi ya Bunyoro na Tooro,N,,,EMPAAKO yange niyo Apuuli,My Pet name is Apuuli,EMPAAKO y'Omukazi wange niyo Abboki,Abboki is pet name for my wife,[],"Amooti, Adyeri, Akiiki, Abwoli,Atwoki,Atenyi,Abboki, Acaali, Apuuli, Araali, Bbala,  Okaali",,[],[],general,general,original_composition,,Project_License,2026-02-18 09:07:13.46+00,ruom6sfi4
thfqxfsvg,Ebiserere,Mixed,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:37:14.322+00,7ldvwi8jh
tho6s4fnp,Emigenzo,Mixed,"Kingship Customs ",Emigenzo Y'obukama,N,,,Emingenzo  etanga omukama okutainamira mufu nobwakuba okuziika,"Customs deter the king not to pay last respect nor  attend Burial  ",Emigenzo  eragira omukama okwinura ebibamuhaire,The King gives from what People have given him,[],"Kugaba,Kukonyera",,[],[],general,general,original_composition,,Project_License,2026-02-17 05:51:59.191+00,ruom6sfi4
tiughp2l3,NYIN'EKA TARABA HAKANYUMA,Mixed,"Head of the family  when going to venture  does not go through the backdoor. ",Nyin'Eka taraba hakanyuma baitu irembo obwaba nagenda kuserra itungo.,V,,,"Mwana wange oli mwojo, kinu okyege; otaliraba hakanyuma obworabaga nogenda orugendo. ","My son, note this; when you will be going out for an adventure never go through back door.",Itungo liretwa irembo nahabweki anyakuliserra  nasemerra kulitemera omuhanda obwaba  nagenda.,"Wealth comes through the main entrance, it is important for the one going out for it to open the way for it to come in.  ",[],EMIZIZO,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:35:12.034+00,ruom6sfi4
tj3bpzzg1,Ekizima,Mixed,Darkness,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 13:37:53.238+00,1lzzop9e4
tmidtscb6,Emirindi,Mixed,stumping the ground strongly to make a loud sound.,kurubata n'amaani maigi n'abantu bakahurra omulindi.,V,ART,,Obwaaba nazina omulindi gwe oguhuura.,While dancing his stumping is ever loud.,Oli mwana wobwisiki leka kuteera emirindi.,As a girl you are not supposed to dancing while stumping.,[],"emirindi(stumping plural), omulindi(stamping singular)",,[],[],general,general,original_composition,,Project_License,2026-02-21 10:36:43.286+00,z7cmq5grs
tmyz6heod,Kusekura,Mixed,pound,,V,AGR,,Aboojo musekule obuhunga.,Boys pound cassava into flour.,Bamusekwire ya noga.,They have pounded it thoroughly.,[],"kuteera, kucencebura",,[],[],general,general,original_composition,,Project_License,2026-02-19 21:20:49.954+00,wmqgng8ap
tpcstemmb,Kwandara,Mixed,"Loitering around,walking aimlessly.",Kugendagenda hataroho kigedererwa.,V,DLY,,Tarukugoza abantu kwadara ha duukaye.,She does not like people to loitering around her shop.,Abaserukali bakaguza omusaija habwaki nayandarra haibwe kero /hakiteko.,"The police officers questioned the man why,was he loitering near the bank.",[],"Kwalingwa ,kutagatagiza,(dividing,idling)",,[],[],general,general,original_composition,,Project_License,2026-02-21 11:05:04.452+00,1lzzop9e4
tqbiqll70,"AHANGA,",Mixed,,,ADJ,SPR,,,,,,[],"RUHANGA,",,[],[],general,general,original_composition,,Project_License,2026-02-23 09:32:37.904+00,ruom6sfi4
tqp2aa6c8,Ebihimba,Mixed,Beans.,,V,AGR,AGR-CRP,Ebihimba biba mukubi mukuru,Beans are very impotant sauce in Bunyoro and  Tooro.,Mucumbe omukubi gw'ebihimba.,Prepare bean sauce.,[],B,,[],[],general,general,original_composition,,Project_License,2026-02-21 10:33:23.741+00,wmqgng8ap
tth3bkipm,Kuseruliza,Mixed,Research,,V,AGR,AGR-SEA,Kuseruliriza omu kulima nokuliisa nibyetagwa.,Research in modern farming is paramount.,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 19:27:11.039+00,wmqgng8ap
ttt5oubw1,kuhandiika,Mixed,writing,,V,EDU,,"Ahandiika kubi.
Omukonogwe mubi.",His/ her handwriting is bad.,Amanyire kusoma n'okuhandiika.,He/ She knows how to read and write.,[],"omukono(handwriting), kuchoda(art design), ebyapa(printing)",,[],[],general,general,original_composition,,Project_License,2026-02-18 13:25:24.542+00,wmqgng8ap
tvngqsgj6,Abatuule,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
tzth9g3ft,OMUZAIRE TAGARUKWAMU,Mixed,A parent is never wrong do not oppose him,Omuzaire tasobya otalimugarukamu kubi.,V,,,Omwana omuhulizi tagarukamu abazaire.,An obedient Child never replays his parents.,Okugarukamu  abazaire kibi muno nabaawe nukwo balikukora.,Responding badly to your Parents is bad be care full your own will do the same to you.,[],EMIZIZO,,[],[],general,general,original_composition,,Project_License,2026-02-21 20:25:02.317+00,ruom6sfi4
u091pjv0d,Omunabi,Rutooro,Prophecy,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 07:21:34.205+00,7ldvwi8jh
u0j4t1638,Okufa,Mixed,To die,Okufa kwabuli omu mpaka,V,NAR,NAR-FOL,Abihimba bifiire byona,"Planted beans dies completely ",Abantu bafire eka ehoireho,People dies and the family is no more,[],"Afiire,bafiire,efiire,zifiire",,[],[],general,general,original_composition,,Project_License,2026-02-16 13:40:18.257+00,7ldvwi8jh
u19uan4rk,Obutunguru,Mixed,Onions,,N,AGR,AGR-CRP,Obutunguru busemeza omukubi.,Onions the taste of food.,Obutunguru bakira kubulima omu itaka lya mabale.,Onions are generally grown stonny soils.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:41:40.287+00,wmqgng8ap
u1reov1y1,Owomugaso,Mixed,Useful person,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 06:34:04.064+00,1lzzop9e4
u1z93sciq,Owobujunanizibwa,Mixed,The resposibility.,Arukukwatibwaho hansonga.,V,DLY,,Omuntu owobujunanizibwa ahikiriza omulimo gwe ogumu hairwe.,A resposible person always fulfill his respobility.,Obu nibwo bujunanizibwa bwawe.,That is your responsiblity.,[],Arukukwatibwaho hamulimo ogu.,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:44:44.661+00,1lzzop9e4
u1zrk0glo,Emanyikirizo,Mixed,stamp,,N,EDU,,Omwegi omutereho emanyikirizo habbaruha.,Put the stamp on the student's certificate.,Emanyikirizo kotagiteiroho?,Why haven't you put there the stamp?,[],"isumi(knot), signature(ekinkomo), thumb print(ekiukomo)",,[],[],general,general,original_composition,,Project_License,2026-02-19 10:03:57.571+00,wmqgng8ap
u2qw8tx7d,Emeza,Mixed,table,,N,EDU,,Emeza bagitaho ebitabu.,They put books on top of the table.,Emeza ekozirwe omumbaho rundi ebyoma?,Is the table made of wood or metal?,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 10:20:10.441+00,wmqgng8ap
u3qll971m,Kaho,Mixed,Peas,,N,AGR,AGR-CRP,,,,,[],Roast,,[],[],general,general,original_composition,,Project_License,2026-02-21 12:15:57.496+00,wmqgng8ap
u3rsuak73,Kukandura,Mixed,clear/clean the field,,V,AGR,,Bakandwire ebinyansi babisigamu.,They have left some grass in the field.,Bakandwire kurungi.,They have cleared well.,[],clean,,[],[],general,general,original_composition,,Project_License,2026-02-19 17:24:20.557+00,wmqgng8ap
u4uobh4lg,Najunanizibwa,Mixed,responsibility,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 13:56:06.749+00,1lzzop9e4
u59maa12z,Oburo,Mixed,millet,,V,AGR,,Oburo kyokulya kikuru munoomu Tooro na Bunyoro.,Millet is a very important food crop in Tooro and Bunyoro.,"Oburo kyokulya kyemigaso nyingi. ",Millet has many uses.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 19:19:44.839+00,wmqgng8ap
u5sey056g,kutagiza,Mixed,"wandering ",kutangata,V,NAR,NAR-ANI,engo obuyakagire akaboyo kenyama yatandika kutagatagize neserra nambere karukuleetwa.,"the leopard after  smelling meat, started wandering around looking where the incense coming from.","warugo obuyatagiize kyaira wakame yamukaguza ati, kiki warugo kotatekaana? nandiki warugo ati, ndeka wewe nanunkirwa akasoro katali kange. ","when the leopard wandering several times, the hare asked the leopard what happened your not settled? leopard says leave me, am sensing foreigner animal.  ",[],"tagiza ,tagangara, magaza",,[],[],general,general,original_composition,,Project_License,2026-02-17 21:45:25.577+00,7ldvwi8jh
u7y94y4rm,Kusuhuuka,Mixed,immigration,abantu kuruga owaabu bakatanga oburaaro munsi etali yowaabu habwobulemu.,V,ENV,,Obulemu bukakanya n'abasuhuuki baaba baingi mu Uganda.,The war has forced many people to immigrate to Uganda.,Haroho abantu abarukufuruka habwokuseerra emirimo.,Many people have immigrated in search for work.,[],"kufuruka(migrate), ensuhuuki(immigrants)",,[],[],general,general,original_composition,,Project_License,2026-02-23 08:05:55.376+00,z7cmq5grs
u8gsiyx7g,Iraka,Mixed,Voice,Kubaza,V,NAR,NAR-PER,"Abazini baine amaraka marungi ,ninyija kusaba kubeteranizaaho.","The choir has a very nice voices, i will request to join them.",Mpulire amaraka marungi muno.,I heard nice voices from radio program.,[],Amaraka,,[],[],general,general,original_composition,,Project_License,2026-02-19 17:23:07.483+00,7ldvwi8jh
u98928hai,OBUHULIZI,Mixed,,,V,SPR,,,,,,[],"Okucweka, Okuhurra,",,[],[],general,general,original_composition,,Project_License,2026-02-24 07:45:42.353+00,ruom6sfi4
uapods6lq,Ekyamahano,Rutooro,Miracle/Wonder,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 08:45:27.918+00,7ldvwi8jh
ubr0hx1wj,Amagaatwa,Rutooro,Cabinet Ministers for the Kingdom,Bakuru b'ebitongole omu Gavumentii y'obukama,N,,,Amagaatwa hamu n'omuhikirwa bali omuruculeero,The Ministers and Priminister are in retreat,Amagaatwa ganu harumu abakazi nabasaija,"women are part of the cabinet ",[],"Bakuru bebitongole,  Abanyoro Abakuru",,[],[],general,general,original_composition,,Project_License,2026-02-17 03:43:16.747+00,ruom6sfi4
ucifbxl18,NKYA,Mixed,God the source of blessing.,Nkya nungi .,N,SPR,,"Nkya -Nungi, abukisize, mwimuke tugende kulima.","The God of blessings has made  anew day , please let us go to dig.","Ogu omwana nka muhabwa Nkya, nahabweki Ibaralye nuwe Byenkya,","That Child is given by Nkya the God of blessings, therefore his name is Byenkya.",[],"Ruhanga, Kagaba, Kazooba.",1,[],[],general,general,original_composition,,Project_License,2026-02-22 14:29:04.861+00,ruom6sfi4
ucrrcezkl,Abatwanga,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
udifkos5y,obukugu,Mixed,Modern farming,,N,AGR,,Kulima okwobukugu nikwetaagwa.,Modern farming is important.,Abantu baingi bahindwireho emirimire yabo.,Most people have improved farming methods.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 15:57:13.109+00,wmqgng8ap
ueie0j5in,Ekihuro,Mixed,"A meal (i.e breakfast, dish)",ekihuro ky'obyokulya,N,DLY,,Abaana banulirwe ekihuro.,The children enjoyed their evening meal.,Tulirega ekihuro kyaitu hansi y'omuti gw'omuyembe.,We ate our meal under a mango tree.,[],orucumba(special meal),,[],[],general,general,original_composition,,Project_License,2026-02-22 07:49:25.493+00,1lzzop9e4
uewfs0szb,Kutahingurwa,Mixed,,,V,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 13:38:17.186+00,7ldvwi8jh
uf7sts474,Cunculya,Mixed,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:46:54.692+00,7ldvwi8jh
uh0obo7w7,Abahinda,Rutooro,,,N,,,,,,,[],"Abadebu, Abasasa, Abahongo, Aborugisa",,[],[],general,general,original_composition,,Project_License,2026-02-18 13:55:17.176+00,ruom6sfi4
ui3r80pn9,Kuhasuka,Mixed,Waking up of the king and leaving the bed room,Omukama okwimuka akaruga omukihango,N,,,Omukama ahasukire kara muno yagenda kurambura obukama,The king woke up early and went tour the Kingdom,Omukama akaireho muno okuhasuka,The king has delayed so much to wake up.,[],"Okwimuka omu kitabu, Kuruga mukitabu ",,[],[],general,general,original_composition,,Project_License,2026-02-18 01:23:27.993+00,ruom6sfi4
uiimrimwm,Abasingo,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
uiy6a0nwv,Nalima,Mixed,digging,,V,AGR,,Omukazi nalima.,The woman is digging.,Omusaija nawe nalima.,The man is also digging.,[],naliisa,,[],[],general,general,original_composition,,Project_License,2026-02-19 16:13:30.566+00,wmqgng8ap
uj4qkd7hd,Ekigogo,Rutooro,Banana fibre,Emigogo,N,NAR,NAR-CHI,Ebigogo bikozesibwa  kusiba  nokura ebintu bingi.,The Banana fibre used to tie and make many thing from it.,Abaana bazaana emipiira yebigogo nokuguruka emiguha.,Children used to play banana fibres foot ball and plays with fibre ropes.,[],Emikonde,,[],[],general,general,original_composition,,Project_License,2026-02-19 17:09:30.236+00,7ldvwi8jh
ukagp0l64,"MWINGANIZA,",Mixed,,,ADJ,SPR,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 08:46:55.537+00,ruom6sfi4
ultuwvcef,Kweliira,Mixed,Clear diction while singing.,Kuzina nohulirwa mubigambo,V,ART,,Azinire Iraka kurungi kyonka tarukwatura,He sang the song with clear diction.,Amakuru gekizina gabuzire habwokuba tarukwatura bigambo,"The meaning of the song wasn't grasped because of poor diction.  ",[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 16:56:46.605+00,z7cmq5grs
ulu0qycvk,Ekitabu,Mixed,Book,Kusoma,N,NAR,NAR-CHI,Abaana kusoma ebitabu kibaletera kwega.,Reading books makes children learn.,Kusoma kitukonyera kwetegereza,When reading helps to learn.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 08:53:42.941+00,7ldvwi8jh
unta4bpcw,Owabu,Mixed,At their place,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 06:51:23.718+00,1lzzop9e4
uof266v7t,kulengera,Rutooro,,kurora,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-17 20:49:21.156+00,7ldvwi8jh
upt5822ag,Abazaire,Mixed,parents,,N,EDU,,Abazaire bahererra abaana.,Parents help their children.,Abazaire abarungi babungira abaana abeegi.,Responsible parents visit their children while at school.,[],"guardians, benefactors",,[],[],general,general,original_composition,,Project_License,2026-02-19 13:09:24.396+00,wmqgng8ap
uqoiuuqxi,Enswa,Mixed,,,N,CUL,CUL-FOO,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 16:03:35.976+00,7ldvwi8jh
uqs29b3f3,Endwaire,Mixed,,,N,,,Ebisoro byomumaka bigira endwaire nyingi,Domestic animals have many diseases.,Abafumu bebisoro nubo babijanjaba .,Domestic animals are treated by animal doctors.,[],enfu,,[],[],general,general,original_composition,,Project_License,2026-02-21 16:23:50.471+00,wmqgng8ap
usgt8c85w,Habwaki?,Mixed,How come?,nikiijakita?,N,NAR,NAR-PER,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-24 09:17:10.938+00,7ldvwi8jh
ushdbr2wj,Obusobozi,Mixed,Authority.,,N,GOV,,Omukama yagiraga obusobozi.,The king authority.,Omukama yaragiraga abantube bahurra.,The king would give orders and his subjects would obey.,[],Power.,,[],[],general,general,original_composition,,Project_License,2026-02-22 06:58:28.726+00,wmqgng8ap
usz942hc1,Oruganikyo,Mixed,A story,Ganikya,N,NAR,NAR-FOL,,let me give you a story about my family background.,,Our family every Friday all members as a must storytelling has to be there.,[],Tuganikize.,,[],[],general,general,original_composition,,Project_License,2026-02-23 08:39:48.11+00,7ldvwi8jh
uvd57bqa9,kusumikaniza,Mixed,fastening,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 11:55:15.406+00,1lzzop9e4
uwusa6gi5,Kusomesa,Mixed,Educate,To educate,V,EDU,,Kusomesa abaana kirungi,To educate children is a good thing.,Abazaire musomese abaana.,Parents should educate their children.,[],Abaana bakasoma( children are learned /educated),,[],[],general,general,original_composition,,Project_License,2026-02-18 09:55:17.857+00,wmqgng8ap
uxbocspif,kuhulika,Mixed,bursting,kubaruka,V,NAR,NAR-FOL,kuhulika kwekintu nka ibaali lyahulika.,something bursting like a stone bursting.,baluuni yahulika.,balloon burst.,[],"hulika,kyahulika,yahulika,lyahulika",,[],[],general,general,original_composition,,Project_License,2026-02-16 09:43:27.667+00,7ldvwi8jh
uyizy2hej,Obukama,Mixed,Kingdom,Ensi erukulemwa omukama,N,,,Obukama bwa Tooro,Tooro Kingdom,Obukama bwa Bunyoro,Bunyoro Kingdom,[],"Ihanga, Ensi y,omukama",,[],[],general,general,original_composition,,Project_License,2026-02-17 04:03:25.296+00,ruom6sfi4
uzxdcnzvs,Obugorra,Mixed,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 14:12:30.926+00,7ldvwi8jh
v000rbcrw,Okoraki,Mixed,What do you do,Okora ota,N,NAR,NAR-FOL,Okaraki omubwire obu mukisaka?,What do you do at that time in the bush?,Nikikoraki kunu?kamba kisoro kyomukisaka?,What do i do? am a wild animal.,[],"nkoleki, nibikoraki,nikikoraki,nibakoraki",1,[],[],general,general,original_composition,,Project_License,2026-02-16 11:42:30.268+00,7ldvwi8jh
v09yhsvp7,Manzi,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 06:42:23.491+00,7ldvwi8jh
v3n1kysjw,Kali magezi,Mixed,Professor,,N,EDU,,Bakali magezi maingi.,There are so many experts.,,,[],"omusomesa(expert), omwegesa(teacher)",,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:37.779+00,wmqgng8ap
v6555pf4q,OMUGOLE,Mixed,The Bride or the Groom.,Omugole nuwe Kigabura na KIswerwa.,N,,,Omugole omukazi akereriirwe muno,The Bride delayed so much.,OMUGOLE omusaija abaire atoire.,The Bride was smart.,[],"KISWERWA, KISWERA",,[],[],ceremonial,youth,original_composition,,Project_License,2026-02-20 07:10:17.474+00,ruom6sfi4
v688032ws,Kubara,Mixed,Arithmetic/mathematics,,N,EDU,,Kubara abeegi baingi kubalema.,Mathematics is hard for most students.,Ngonza kubara.,I enjoy mathematic.,[],"numbers, numerals",,[],[],general,general,original_composition,,Project_License,2026-02-18 13:19:38.479+00,wmqgng8ap
